,0
0,117622
1,75561
2,54073
3,112015
4,44380
5,75985
6,43860
7,54052
8,117839
9,75714
10,54537
11,96215
12,74896
13,105781
14,65267
15,111935
16,85767
17,75663
18,96289
19,105961
20,76086
21,95761
22,44191
23,75785
24,65392
25,65087
26,75306
27,85611
28,96038
29,117596
30,96612
31,96049
32,75313
33,95860
34,105970
35,117855
36,85330
37,96305
38,105869
39,97088
40,97040
41,85861
42,75904
43,111869
44,96181
45,54446
46,95890
47,54561
48,85651
49,76059
50,97164
51,65126
52,54195
53,96281
54,54201
55,75665
56,54460
57,44385
58,43950
59,44387
60,54627
61,64781
62,64746
63,85109
64,111653
65,76079
66,85996
67,75359
68,86116
69,86146
70,44323
71,85092
72,105933
73,44251
74,64964
75,75006
76,54155
77,111838
78,96666
79,75321
80,75459
81,96330
82,65172
83,95767
84,96268
85,96609
86,85471
87,112064
88,75357
89,85918
90,96579
91,85062
92,64983
93,65113
94,65226
95,85694
96,65034
97,95953
98,117629
99,85457
100,96088
101,64886
102,96267
103,44374
104,64938
105,86121
106,76165
107,74938
108,44275
109,96992
110,75110
111,95980
112,111919
113,54228
114,44422
115,111759
116,44074
117,53926
118,75003
119,96188
120,95925
121,85261
122,85406
123,65213
124,76127
125,75686
126,75287
127,117576
128,65367
129,105986
130,85791
131,106033
132,105884
133,111950
134,75175
135,54021
136,95728
137,117716
138,95949
139,75972
140,96697
141,96779
142,95716
143,75497
144,111994
145,54650
146,75182
147,86071
148,85871
149,117612
150,54587
151,75057
152,117591
153,117544
154,96860
155,96436
156,117532
157,117729
158,85683
159,85587
160,75942
161,96282
162,44067
163,86135
164,75822
165,65442
166,64745
167,44268
168,44265
169,65418
170,76134
171,96071
172,96432
173,44408
174,85716
175,96130
176,111849
177,53883
178,54387
179,85449
180,106038
181,65328
182,54244
183,86095
184,65283
185,53909
186,44327
187,111804
188,97002
189,54655
190,85202
191,106047
192,86248
193,117509
194,85174
195,64923
196,105859
197,54325
198,54527
199,43981
200,117482
201,44072
202,96542
203,117752
204,96026
205,75839
206,44029
207,117682
208,85545
209,75523
210,53870
211,75308
212,117851
213,85647
214,105916
215,54440
216,95717
217,64751
218,97111
219,44353
220,105956
221,74901
222,74954
223,65027
224,96060
225,117631
226,85602
227,95886
228,75588
229,53885
230,54405
231,96031
232,85398
233,75370
234,85658
235,111823
236,75569
237,75163
238,96731
239,65012
240,117526
241,96314
242,111605
243,43841
244,85608
245,111907
246,96244
247,106076
248,111865
249,86006
250,44146
251,54267
252,43925
253,85450
254,64785
255,85938
256,44398
257,105984
258,96261
259,96235
260,85844
261,44034
262,54603
263,75676
264,97073
265,96532
266,85490
267,117633
268,75668
269,111761
270,111676
271,85133
272,85805
273,75411
274,95867
275,85089
276,85281
277,85731
278,105769
279,111697
280,75274
281,85254
282,117476
283,96185
284,106049
285,44026
286,117879
287,64874
288,86178
289,44189
290,44405
291,75195
292,75340
293,117882
294,54313
295,53872
296,96525
297,86119
298,85687
299,111638
300,65081
301,54009
302,96302
303,54599
304,85517
305,85720
306,44013
307,85639
308,96527
309,86046
310,65193
311,95764
312,96601
313,44166
314,64966
315,96895
316,75118
317,111864
318,64859
319,95795
320,111776
321,75112
322,95828
323,117814
324,85831
325,97168
326,111647
327,54494
328,85152
329,96971
330,85708
331,96846
332,96416
333,97075
334,97212
335,75746
336,75583
337,75225
338,54464
339,95794
340,44090
341,64930
342,75752
343,65331
344,43945
345,64897
346,75598
347,95807
348,75634
349,85525
350,86234
351,76153
352,85438
353,44247
354,76006
355,44283
356,44005
357,75436
358,96286
359,97071
360,96807
361,85056
362,117880
363,112024
364,54303
365,64778
366,85112
367,96303
368,85718
369,65322
370,85827
371,86239
372,111874
373,111711
374,96431
375,43906
376,96199
377,54518
378,85385
379,64748
380,65202
381,54349
382,43978
383,117768
384,76122
385,97011
386,96133
387,97196
388,74958
389,97096
390,96571
391,43973
392,75527
393,75160
394,85248
395,54281
396,43920
397,44124
398,86092
399,54606
400,75265
401,65110
402,85420
403,65340
404,44439
405,85930
406,95814
407,112070
408,86171
409,96343
410,54504
411,65338
412,85433
413,85513
414,75309
415,75040
416,75383
417,112047
418,44057
419,43867
420,96059
421,43975
422,64878
423,117704
424,117735
425,117579
426,53877
427,85629
428,54580
429,96022
430,54003
431,96451
432,96169
433,111975
434,85209
435,76058
436,43942
437,65206
438,75071
439,85860
440,85779
441,76032
442,105842
443,53891
444,64760
445,64827
446,96885
447,43862
448,96587
449,105808
450,75792
451,97004
452,86102
453,43913
454,43936
455,64889
456,54456
457,75578
458,54604
459,86002
460,75398
461,75507
462,54162
463,43846
464,75472
465,96594
466,85917
467,85878
468,75355
469,95926
470,74949
471,44199
472,85197
473,54482
474,44179
475,85553
476,105944
477,96814
478,105839
479,54376
480,53978
481,85399
482,54615
483,75720
484,106042
485,64806
486,54176
487,65314
488,111992
489,96893
490,44173
491,75380
492,96255
493,75609
494,75509
495,75640
496,43866
497,65239
498,54666
499,44230
500,96183
501,85597
502,96351
503,54392
504,65107
505,96894
506,97175
507,97097
508,106011
509,96700
510,111922
511,95972
512,44082
513,85565
514,117806
515,75203
516,106070
517,111714
518,75025
519,95804
520,105855
521,75869
522,54138
523,75724
524,85760
525,96034
526,96999
527,117611
528,96037
529,105898
530,74898
531,96904
532,85506
533,96502
534,54553
535,111805
536,106052
537,85724
538,76131
539,106013
540,105798
541,86001
542,75183
543,65071
544,75198
545,96065
546,54175
547,86072
548,44450
549,85076
550,96853
551,75860
552,96016
553,75123
554,54249
555,96382
556,85600
557,112003
558,117554
559,54185
560,105940
561,54577
562,86029
563,44210
564,76069
565,44382
566,75672
567,54317
568,44209
569,111703
